iter	Passed	Remaining
0	0	508
1	0	568
2	0	615
3	1	572
4	1	537
5	1	541
6	1	561
7	2	537
8	2	552
9	2	540
10	2	534
11	3	520
12	3	528
13	3	537
14	4	544
15	4	540
16	4	537
17	4	542
18	5	538
19	5	538
20	5	530
21	5	524
22	6	517
23	6	513
24	6	510
25	6	508
26	7	514
27	7	506
28	7	504
29	7	508
30	7	507
31	8	502
32	8	500
33	8	496
34	8	496
35	9	496
36	9	499
37	9	502
38	9	501
39	10	503
40	10	505
41	10	508
42	11	510
43	11	511
44	11	512
45	12	514
46	12	516
47	12	517
48	12	515
49	13	513
50	13	510
51	13	510
52	13	508
53	14	505
54	14	502
55	14	501
56	14	499
57	14	498
58	15	497
59	15	495
60	15	494
61	15	493
62	16	492
63	16	491
64	16	490
65	16	489
66	16	488
67	17	486
68	17	485
69	17	483
70	17	482
71	17	480
72	18	479
73	18	477
74	18	476
75	18	475
76	18	473
77	19	471
78	19	470
79	19	470
80	19	469
81	20	468
82	20	466
83	20	465
84	20	464
85	20	463
86	21	462
87	21	461
88	21	460
89	21	459
90	21	458
91	22	457
92	22	456
93	22	456
94	22	455
95	22	454
96	23	454
97	23	453
98	23	455
99	23	454
100	24	453
101	24	452
102	24	451
103	24	451
104	24	451
105	25	450
106	25	449
107	25	448
108	25	447
109	26	447
110	26	445
111	26	444
112	26	444
113	26	443
114	27	442
115	27	442
116	27	441
117	27	441
118	27	441
119	28	440
120	28	440
121	28	440
122	28	440
123	29	439
124	29	439
125	29	438
126	29	437
127	29	437
128	30	436
129	30	436
130	30	437
131	30	436
132	31	436
133	31	436
134	31	436
135	31	437
136	32	438
137	32	437
138	32	436
139	32	436
140	33	436
141	33	435
142	33	435
143	33	435
144	34	434
145	34	434
146	34	433
147	34	433
148	34	432
149	34	431
150	35	431
151	35	430
152	35	431
153	35	431
154	36	431
155	36	430
156	36	430
157	36	430
158	37	430
159	37	429
160	37	429
161	37	428
162	38	428
163	38	427
164	38	427
165	38	426
166	38	426
167	39	425
168	39	425
169	39	425
170	39	424
171	39	424
172	40	424
173	40	423
174	40	423
175	40	423
176	41	422
177	41	422
178	41	422
179	41	421
180	41	421
181	42	421
182	42	420
183	42	420
184	42	419
185	43	419
186	43	418
187	43	418
188	43	417
189	43	417
190	44	417
191	44	417
192	44	416
193	44	416
194	44	416
195	45	415
196	45	415
197	45	415
198	45	414
199	46	414
200	46	413
201	46	413
202	46	413
203	46	413
204	47	412
205	47	412
206	47	412
207	47	413
208	48	413
209	48	412
210	48	413
211	48	412
212	49	412
213	49	411
214	49	411
215	49	411
216	49	410
217	50	410
218	50	409
219	50	409
220	50	409
221	51	408
222	51	408
223	51	407
224	51	407
225	51	407
226	52	406
227	52	406
228	52	407
229	52	406
230	53	406
231	53	406
232	53	405
233	53	405
234	53	405
235	54	405
236	54	405
237	54	405
238	54	404
239	55	404
240	55	404
241	55	404
242	55	403
243	56	403
244	56	402
245	56	402
246	56	403
247	57	403
248	57	404
249	57	404
250	58	405
251	58	404
252	58	404
253	58	403
254	58	403
255	59	402
256	59	402
257	59	403
258	59	402
259	60	402
260	60	402
261	60	402
262	60	402
263	61	402
264	61	402
265	61	401
266	61	401
267	62	402
268	62	402
269	62	402
270	63	402
271	63	402
272	63	402
273	63	402
274	64	402
275	64	402
276	64	402
277	64	402
278	65	401
279	65	401
280	65	401
281	65	401
282	66	400
283	66	400
284	66	400
285	66	399
286	66	399
287	67	399
288	67	398
289	67	399
290	68	399
291	68	399
292	68	399
293	68	398
294	68	398
295	69	398
296	69	397
297	69	397
298	69	397
299	70	396
300	70	396
301	70	397
302	70	397
303	71	396
304	71	396
305	71	396
306	71	395
307	72	395
308	72	395
309	72	395
310	72	394
311	72	394
312	73	394
313	73	394
314	73	393
315	73	393
316	74	392
317	74	392
318	74	392
319	74	391
320	74	391
321	75	391
322	75	390
323	75	390
324	75	390
325	75	389
326	76	389
327	76	389
328	76	389
329	76	388
330	77	388
331	77	388
332	77	388
333	78	389
334	78	389
335	78	388
336	78	388
337	79	388
338	79	388
339	79	388
340	79	387
341	79	387
342	80	387
343	80	387
344	80	386
345	80	386
346	81	386
347	81	386
348	81	385
349	81	386
350	82	386
351	82	386
352	83	387
353	83	387
354	83	387
355	84	388
356	84	388
357	84	388
358	84	388
359	85	388
360	85	389
361	86	389
362	86	389
363	86	389
364	86	389
365	87	389
366	87	389
367	87	389
368	88	389
369	88	389
370	88	389
371	88	389
372	89	389
373	89	389
374	89	389
375	90	389
376	90	389
377	90	389
378	91	389
379	91	389
380	91	389
381	92	389
382	92	389
383	92	389
384	92	389
385	93	389
386	93	389
387	93	389
388	94	389
389	94	389
390	94	389
391	94	388
392	95	388
393	95	388
394	95	389
395	96	389
396	96	389
397	96	388
398	96	388
399	97	388
400	97	388
401	97	387
402	97	387
403	98	387
404	98	386
405	98	386
406	98	386
407	98	385
408	99	385
409	99	385
410	99	384
411	99	384
412	99	384
413	100	383
414	100	383
415	100	383
416	100	382
417	101	382
418	101	382
419	101	381
420	101	381
421	101	381
422	102	381
423	102	380
424	102	380
425	102	379
426	103	379
427	103	379
428	103	378
429	103	378
430	103	378
431	104	377
432	104	378
433	104	377
434	104	377
435	105	377
436	105	376
437	105	376
438	105	376
439	105	375
440	106	375
441	106	375
442	106	374
443	106	374
444	107	374
445	107	374
446	107	373
447	107	373
448	107	373
449	108	372
450	108	372
451	108	372
452	108	371
453	109	371
454	109	371
455	109	371
456	109	370
457	110	370
458	110	370
459	110	369
460	110	369
461	110	369
462	111	368
463	111	368
464	111	368
465	111	368
466	112	367
467	112	367
468	112	367
469	112	366
470	112	366
471	113	365
472	113	365
473	113	365
474	113	365
475	114	365
476	114	365
477	114	365
478	115	365
479	115	365
480	115	364
481	115	364
482	116	364
483	116	364
484	116	364
485	116	363
486	117	363
487	117	363
488	117	362
489	117	362
490	117	362
491	118	362
492	118	362
493	118	362
494	119	362
495	119	362
496	119	362
497	120	362
498	120	362
499	120	362
500	121	362
501	121	362
502	121	362
503	122	362
504	122	362
505	122	362
506	122	362
507	123	361
508	123	361
509	123	361
510	124	361
511	124	361
512	124	361
513	124	361
514	125	361
515	125	360
516	125	360
517	125	360
518	126	359
519	126	359
520	126	359
521	126	359
522	127	359
523	127	359
524	128	360
525	128	360
526	128	360
527	129	360
528	129	360
529	129	360
530	130	360
531	130	360
532	130	360
533	131	361
534	131	361
535	132	361
536	132	360
537	132	360
538	132	360
539	133	359
540	133	359
541	133	359
542	133	358
543	134	358
544	134	358
545	134	358
546	134	357
547	135	357
548	135	357
549	135	357
550	135	356
551	135	356
552	136	356
553	136	355
554	136	355
555	136	355
556	136	354
557	137	354
558	137	354
559	137	354
560	137	353
561	138	353
562	138	353
563	138	352
564	138	352
565	138	352
566	139	351
567	139	351
568	139	351
569	139	350
570	140	350
571	140	350
572	140	349
573	140	349
574	140	349
575	141	349
576	141	348
577	141	348
578	141	348
